id,name,price,availableQuantity
JEANS_006,Black Slim Fit Jeans - 32,94.99,160
JEANS_007,Black Slim Fit Jeans - 34,94.99,140
JEANS_008,Black Slim Fit Jeans - 36,94.99,110
JEANS_009,Light Wash Distressed Jeans - 30,99.99,80
JEANS_010,Light Wash Distressed Jeans - 32,99.99,90
PANTS_001,Chino Pants - Navy,64.99,120
PANTS_002,Chino Pants - Khaki,64.99,130
PANTS_003,Chino Pants - Grey,64.99,100
PANTS_004,Sweatpants - Black,49.99,180
PANTS_005,Sweatpants - Grey,49.99,170
PANTS_006,Athletic Joggers - Black,59.99,140
PANTS_007,Athletic Joggers - Grey,59.99,130
PANTS_008,Cargo Pants - Olive,74.99,70
PANTS_009,Cargo Pants - Tan,74.99,65
PANTS_010,Dress Pants - Black,84.99,80
BELT_001,Leather Belt - Black,39.99,200
BELT_002,Leather Belt - Brown,39.99,190
BELT_003,Canvas Belt - Navy,24.99,250
BELT_004,Canvas Belt - Black,24.99,240
BELT_005,Woven Fabric Belt - Beige,29.99,180
BELT_006,Woven Fabric Belt - Brown,29.99,170
BELT_007,Metal Buckle Belt - Silver,34.99,120
BELT_008,Metal Buckle Belt - Gold,34.99,110
HAT_001,Classic Baseball Cap - Black,29.99,350
HAT_002,Classic Baseball Cap - Navy,29.99,340
HAT_003,Classic Baseball Cap - White,29.99,320
HAT_004,Beanie Winter Hat - Black,34.99,280
HAT_005,Beanie Winter Hat - Grey,34.99,270
HAT_006,Beanie Winter Hat - Navy,34.99,260
HAT_007,Trucker Hat - Black,32.99,220
HAT_008,Trucker Hat - Camo,32.99,200
HAT_009,Straw Sun Hat,44.99,150
HAT_010,Bucket Hat - Khaki,39.99,180
SOCK_001,Cotton Crew Socks - White 6-Pack,14.99,500
SOCK_002,Cotton Crew Socks - Black 6-Pack,14.99,480
SOCK_003,Athletic Performance Socks - White 3-Pack,19.99,400
SOCK_004,Athletic Performance Socks - Black 3-Pack,19.99,380
SOCK_005,Wool Hiking Socks 2-Pack,24.99,250
SOCK_006,Wool Hiking Socks 2-Pack Grey,24.99,240
SOCK_007,Bamboo Comfort Socks 3-Pack,17.99,320
SOCK_008,Bamboo Comfort Socks 3-Pack,17.99,310
JACKET_001,Lightweight Windbreaker - Black,84.99,90
JACKET_002,Lightweight Windbreaker - Navy,84.99,85
JACKET_003,Lightweight Windbreaker - Red,84.99,75
JACKET_004,Fleece Zip Jacket - Grey,74.99,110
JACKET_005,Fleece Zip Jacket - Navy,74.99,105
JACKET_006,Denim Jacket - Blue,104.99,60
JACKET_007,Denim Jacket - Black,104.99,55
JACKET_008,Puffer Winter Jacket - Black,149.99,50
JACKET_009,Puffer Winter Jacket - Navy,149.99,45
JACKET_010,Leather Biker Jacket,199.99,25
SCARF_001,Cotton Scarf - Navy,34.99,200
SCARF_002,Cotton Scarf - Beige,34.99,195
SCARF_003,Wool Scarf - Grey,54.99,120
SCARF_004,Wool Scarf - Black,54.99,115
SCARF_005,Silk Scarf - Floral,64.99,80
GLOVES_001,Leather Gloves - Black,49.99,150
GLOVES_002,Leather Gloves - Brown,49.99,140
GLOVES_003,Winter Wool Gloves - Black,29.99,250
GLOVES_004,Winter Wool Gloves - Grey,29.99,240
UNDWEAR_001,Cotton Boxer Briefs 3-Pack - Black,24.99,400
UNDWEAR_002,Cotton Boxer Briefs 3-Pack - White,24.99,380
UNDWEAR_003,Premium Briefs 5-Pack - Assorted,34.99,300
UNDWEAR_004,Womens Cotton Bikini 3-Pack - Black,24.99,350
UNDWEAR_005,Womens Cotton Bikini 3-Pack - White,24.99,330
